from,to,degree,source,target
/wiki/Data_science,/wiki/Information_science,0,21,45
/wiki/Data_science,/wiki/Statistics,0,21,81
/wiki/Data_science,/wiki/Data_visualization,0,21,22
/wiki/Data_science,/wiki/Exploratory_data_analysis,0,21,32
/wiki/Data_science,/wiki/Information_design,0,21,44
/wiki/Data_science,/wiki/Interactive_data_visualization,0,21,46
/wiki/Data_science,/wiki/Descriptive_statistics,0,21,26
/wiki/Data_science,/wiki/Statistical_inference,0,21,78
/wiki/Data_science,/wiki/Statistical_graphics,0,21,77
/wiki/Data_science,/wiki/Data_analysis,0,21,17
/wiki/Data_science,/wiki/Infographic,0,21,42
/wiki/Data_science,/wiki/Edward_Tufte,0,21,31
/wiki/Data_science,/wiki/Hadley_Wickham,0,21,35
/wiki/Data_science,/wiki/Drew_Conway,0,21,29
/wiki/Data_science,/wiki/Line_chart,0,21,51
/wiki/Data_science,/wiki/Bar_chart,0,21,3
/wiki/Data_science,/wiki/Histogram,0,21,39
/wiki/Data_science,/wiki/Scatterplot,0,21,70
/wiki/Data_science,/wiki/Boxplot,0,21,6
/wiki/Data_science,/wiki/Pareto_chart,0,21,60
/wiki/Data_science,/wiki/Pie_chart,0,21,63
/wiki/Data_science,/wiki/Area_chart,0,21,1
/wiki/Data_science,/wiki/Control_chart,0,21,14
/wiki/Data_science,/wiki/Run_chart,0,21,69
/wiki/Data_science,/wiki/Cartogram,0,21,10
/wiki/Data_science,/wiki/Small_multiple,0,21,73
/wiki/Data_science,/wiki/Sparkline,0,21,75
/wiki/Data_science,/wiki/Data,0,21,16
/wiki/Data_science,/wiki/Information,0,21,43
/wiki/Data_science,/wiki/Big_data,0,21,4
/wiki/Data_science,/wiki/Database,0,21,24
/wiki/Data_science,/wiki/Chartjunk,0,21,11
/wiki/Data_science,/wiki/Visual_perception,0,21,85
/wiki/Data_science,/wiki/Regression_analysis,0,21,67
/wiki/Data_science,/wiki/Statistical_model,0,21,80
/wiki/Data_science,/wiki/Misleading_graph,0,21,58
/wiki/Data_science,/wiki/Knowledge,0,21,49
/wiki/Data_science,/wiki/Data,0,21,16
